step,iter,train/loss,val/loss,lr,mfu
0,0,4.713016510009766,4.684433937072754,0.01,-100.0
1,1,22.436782836914062,22.677047729492188,0.01,-100.0
2,2,16.092151641845703,16.17690658569336,0.01,-100.0
3,3,22.380420684814453,22.744396209716797,0.01,-100.0
4,4,42.4376106262207,40.490936279296875,0.01,-100.0
5,5,58.51079559326172,50.99768829345703,0.01,-100.0
6,6,69.78123474121094,67.54121398925781,0.01,0.4559809035110388
7,7,76.13714599609375,76.164794921875,0.01,0.45197637272447866
8,8,84.684814453125,80.269775390625,0.01,0.45170548132825883
9,9,84.71392822265625,80.05868530273438,0.01,0.4330122841170158
10,10,72.56715393066406,71.66107177734375,0.01,0.423893075052725
